AUTOID;INSTALACIONID;REGIMEN;INSTALACION;AUTONOMIA
314;;ORDINARIO;LAS ONDINAS GR 1;Castilla y Leon
315;;ORDINARIO;LAS ONDINAS GR 2;Castilla y Leon
316;;ORDINARIO;LERIDA;Cataluna
317;;ORDINARIO;LES ILLES;Cataluna
318;;ORDINARIO;LITORAL DE ALMERIA GR 1;Andalucia
319;;ORDINARIO;LITORAL DE ALMERIA GR 2;Andalucia
320;;ORDINARIO;LOS ORGANOS 1;Andalucia
321;;ORDINARIO;LOS ORGANOS 2;Andalucia
322;;ORDINARIO;LLADRES;Cataluna
323;;ORDINARIO;LLAVORSI CARDOS 1;Cataluna
324;;ORDINARIO;LLAVORSI CARDOS 2;Cataluna
325;;ORDINARIO;LLESP 1;Cataluna
326;;ORDINARIO;LLESP 2;Cataluna
327;;ORDINARIO;MARMOLEJO 1;Andalucia
328;;ORDINARIO;MARMOLEJO 2;Andalucia
329;;ORDINARIO;MELILLA 10, G-10;Melilla
330;;ORDINARIO;MELILLA 11, DIESEL 10;Melilla
331;;ORDINARIO;MELILLA 12;Melilla
332;;ORDINARIO;MELILLA 12, G. ELECTROGENO;Melilla
333;;ORDINARIO;MELILLA 13;Melilla
334;;ORDINARIO;MELILLA 13, G. ELECTROGENO;Melilla
335;;ORDINARIO;MELILLA 14, G. ELECTROGENO;Melilla
336;;ORDINARIO;MELILLA 15, G. ELECTROGENO;Melilla
337;;ORDINARIO;MELILLA 16, G. ELECTROGENO;Melilla
338;;ORDINARIO;MELILLA 17, G. ELECTROGENO;Melilla
339;;ORDINARIO;MELILLA 18, G. ELECTROGENO;Melilla
340;;ORDINARIO;MELILLA 19, G. ELECTROGENO;Melilla
341;;ORDINARIO;MELILLA 20, G. ELECTROGENO;Melilla
342;;ORDINARIO;MELILLA 21, G. ELECTROGENO;Melilla
343;;ORDINARIO;MELILLA 22, G. ELECTROGENO;Melilla
344;;ORDINARIO;MELILLA 23, G. ELECTROGENO;Melilla
345;;ORDINARIO;MELILLA 5, G-5;Melilla
346;;ORDINARIO;MELILLA 6, G-6;Melilla
347;;ORDINARIO;MELILLA 9, G-9;Melilla
348;;ORDINARIO;MENGIBAR 1;Andalucia
349;;ORDINARIO;MENGIBAR 2;Andalucia
350;;ORDINARIO;MENGIBAR 3;Andalucia
351;;ORDINARIO;MEQUINENZA 1;Aragon
352;;ORDINARIO;MEQUINENZA 2;Aragon
353;;ORDINARIO;MEQUINENZA 3;Aragon
354;;ORDINARIO;MEQUINENZA 4;Aragon
355;;ORDINARIO;MOLI;Cataluna
356;;ORDINARIO;MONTAMARA 1;Cataluna
357;;ORDINARIO;MONTAMARA 2;Cataluna
358;;ORDINARIO;MONTESQUIU;Cataluna
359;;ORDINARIO;MORALETS 1;Aragon
360;;ORDINARIO;MORALETS 2;Aragon
361;;ORDINARIO;MORALETS 3;Aragon
362;;ORDINARIO;MORES;Aragon
363;;ORDINARIO;NACIMIENTO 1;Andalucia
364;;ORDINARIO;NACIMIENTO 2;Andalucia
365;;ORDINARIO;NEGRATIN;Andalucia
366;;ORDINARIO;NUEVO CASTILLO;Andalucia
367;;ORDINARIO;NUEVO CHORRO;Andalucia
368;;ORDINARIO;OLIANA 1;Cataluna
369;;ORDINARIO;OLIANA 2;Cataluna
